id,name_english,name_persian,image,description,user
1,Gum,آدامس,,,1
2,AMPULE,آمپول,,,1
3,INHALER AMPULE,آمپول استنشاقی,,,1
4,ORAL AMPULE,آمپول خوراکی,,,1
5,Angioket,آنژيوكت,,,1
6,Nasal aerosol,آيروسل بيني,,,1
7,SPRAY,اسپری,,,1
8,NASAL SPRAY,اسپری بینی,,,1
9,ORAL INHALER,اسپری دهانی,,,1
10,Lotion Spray,اسپری لوسیون,,,1
11,Sterile,استریل,,,1
12,INHALER,استنشاقی,,,1
13,Extract,افشره,,,1
14,Elixir,الگزیر,,,1
15,Emulsion,امولسیون,,,1
16,INFUSION,انفوزیون,,,1
17,Implant,ایمپلنت,,,1
18,Bulk Cream,بالک کرم,,,1
19,Bulk,بالک,,,1
20,BANDAGE,باند,,,1
21,Bokhor,بخور,,,1
22,For Irrigation,برای شستشو,,,1
23,Brush,برس,,,1
24,TOOTH BRUSH,برس دندان,,,1
25,Pad,پد,,,1
26,Perl,پرل,,,1
27,PLASTER,پلاستر,,,1
28,OINTMENT,پماد,,,1
29,STIERIL EYE OINTMENT,پماد استریل چشمی,,,1
30,Nasal Ointment,پماد بینی,,,1
31,EYE OINTMENT,پماد چشمی,,,1
32,Rectal Ointment,پماد مقعد,,,1
33,Topical Ointment,پماد موضعی,,,1
34,POWDER,پودر,,,1
35,Powder for Inhalation,پودر استنشاقی,,,1
36,Powder for Suspension,پودر سوسپانسیون,,,1
37,Powder For Oral Solution,پودر محلول خوراکی,,,1
38,INJECTION,تزریقی,,,1
39,Eye Injection,تزریقی چشمی,,,1
40,DOUCH VAGINAL,تمیز کننده واژینال,,,1
41,RECTAL TUBE,تیوب رکتال,,,1
42,EFFERVESCENT,جوشان,,,1
43,PASTE,چسب,,,1
44,Finger Paste,چسب انگشت,,,1
45,THOOT PAST,خمیر دندان,,,1
46,MACHINE,دستگاه,,,1
47,INHALER MACHINE,دستگاه آئروسل,,,1
48,MOUTH WASH,دهان شویه,,,1
49,OIL,روغن,,,1
50,GEL,ژل,,,1
51,Topical Gel,ژل موضعی,,,1
52,Vaginal Gel,ژل واژینال,,,1
53,COMPOUND,ساختنی,,,1
54,SACHET,ساشه,,,1
55,SOFT GEL,سافت ژل,,,1
56,SERUM,سرم,,,1
57,SYRINGE,سرنگ,,,1
58,PIN,سوزن,,,1
59,SUSPENSION,سوسپانسیون,,,1
60,Injectable Suspension,سوسپانسیون تزریقی,,,1
61,Injectable Solution (Infusion),سوسپانسیون تزریقی(انفوزیون),,,1
62,Oral Suspension,سوسپانسیون خوراکی,,,1
63,SUND,سوند,,,1
64,Angion catheter and syringe,سوند و سرنگ آنژيون,,,1
65,SHAMPOO,شامپو,,,1
66,Shampoo (Lotion),شامپو (لوسیون),,,1
67,SYRUP,شربت,,,1
68,SUPPOSITORY,شياف,,,1
69,RECTAL SUPPOSITORY,شياف ركتال,,,1
70,Milk,شیر,,,1
71,Vaginal and Rectal Suppository,شیاف واژن و مقعد,,,1
72,Vaginal Suppository,شیاف واژینال,,,1
73,FIBERGLASS,فايبرگلاس,,,1
74,STEEL,فلزي,,,1
75,TABLET,قرص,,,1
76,EFF TABLET,قرص جوشان,,,1
77,CHEWABLE TABLET,قرص جویدنی,,,1
78,LOZENGES TABLET,قرص چوشیدنی,,,1
79,S.C. Tablet,قرص خط دار,,,1
80,ORAL TABLET,قرص خوراكي,,,1
81,F.C. Tablet,قرص روکش دار,,,1
82,Sublingual Tablet,قرص زیرزبانی,,,1
83,Vaginal Tablet,قرص واژینال,,,1
84,VAGINAL TABLET (Countable),قرص واژینال (عددی),,,1
85,DROP,قطره,,,1
86,Sterile Eye Drop,قطره استريل چشمي,,,1
87,Sterile EAR DROP,قطره استريل گوشي,,,1
88,NASAL DROP,قطره بینی,,,1
89,EYE DROP,قطره چشمي,,,1
90,ORAL DROP,قطره خوراكي,,,1
91,EAR DROP,قطره گوشي,,,1
92,HERBAL DROP,قطره گياهي,,,1
93,PEN,قلم,,,1
94,JAR,قوطی,,,1
95,CARPOL,كارپول,,,1
96,SOFT GEL CAPSULE,كپسول نرم,,,1
97,CAPSULE OR PREAL,كپسول يا پرل,,,1
98,CREAM,كرم,,,1
99,BULK CREAM,كرم بالك,,,1
100,TOPICAL CREAM,كرم موضعي,,,1
101,STREEL GAS,گاز استریل,,,1
102,GACH,گچ,,,1
103,GRANOLE,گرانول,,,1
104,BULK LOTION,لوسيون بالك,,,1
105,Lotion & Gel,لوسيون يا ژل,,,1
106,LOTION,لوسیون,,,1
107,TOPICAL LOTION,لوسیون موضعی,,,1
108,RECTAL TUBE,لوله رکتال (مقعد),,,1
109,LIQUID,مايع,,,1
110,SOLUTION,محلول,,,1
111,Spray Solution,محلول اسپری,,,1
112,Sterile Ophthalmic Solution,محلول استریل چشمی,,,1
113,SOLUTION INHALATION,محلول استنشاقی,,,1
114,SOLUTION FOR INJECTION,محلول تزریقی,,,1
115,ORAL SOL,محلول خوراکی,,,1
116,MOUTH SOL,محلول دهانی,,,1
117,Concentrated Solution for Infusion,محلول غلیظ شده جهت تزریق,,,1
118,Topical Solution,محلول موضعی,,,1
119,Viscous solution,محلول ويسكوز,,,1
120,Cardboard,مقوائي,,,1
121,VACCIN,واکسن,,,1
122,lngection,واکسن تزریقی,,,1
123,VACCIN IN VIEN,واکسن داخل وریدی,,,1
124,Medical device,وسيله پزشكي,,,1
125,VIAL,ویال,,,1
126,VIAL INJECTION,ویال تزریقی,,,1
127,ORAL VIAL,ویال خوراکی,,,1
128,CAPLET,کاپلت,,,1
129,CARTRIGE,کارتریج,,,1
130,CANDOM,کاندوم,,,1
131,CAPSULE,کپسول,,,1
132,CAPSULE INHALER,کپسول استنشاقی,,,1
133,ORAL CAPSULE,کپسول خوراکی,,,1
134,SOFT CAPS,کپسول ژله ای,,,1
135,BOOK,کتاب,,,1
136,VAGINAL CREAM,کرم واژینال,,,1
137,Cosmetic,آرايشي,,,1
138,AFTER SHAVE,ادكلن,,,1
139,Draft 2,,,,1
140,STRIP,استرپ,,,1
141,Acetone,اسيتون,,,1
142,Striel Gas And Bundage,باند و گاز استريل,,,1
143,Hair Brush,برس موي,,,1
144,Sniffer,بوگير,,,1
145,Biscuit,بيسكويت,,,1
146,BABY PACIFIER,پستونك,,,1
147,BABY POWDER,پودر بچه,,,1
148,TOOTH POWDER,پودر دندان,,,1
149,HAIR REMOVER POWDER,پودر موبر,,,1
150,DIAPER,پوشك,,,1
151,MEDICAL EQUIPMENT,تجهيزات پزشكي,,,1
152,BLADE,تيغ,,,1
153,PAKAGE,جعبه ای,,,1
154,CHIPS,چیپس,,,1
155,WOMEN,خانم ها,,,1
156,THOOTH PAST,خمير دندان,,,1
157,BEARD FOAM,خمير ريش,,,1
158,CHILD THOOT PAST,خمیردندان بچه,,,1
159,AIR FRESHENER,خوشبو كننده هوا,,,1
160,HERBAL DRUGS,دارو هاي گياهی,,,1
161,GIRLS,دخترانه,,,1
162,HANDKARCHIFE,دستمال,,,1
163,TISSUE,دستمال كاغذي,,,1
164,WET WIPES,دستمال مرطوب,,,1
165,GLOVES,دستکش,,,1
166,TEETHER,دندان روک,,,1
167,MOUTHWASH,دهن شویه,,,1
168,HAIR COLOR,رنگ مو,,,1
169,ORAL OIL,روغن خوراكي,,,1
170,HIAR OIL,روغن مو,,,1
171,Rol,رول,,,1
172,RIMEL,ریمل,,,1
173,GILLITE,ژلیت,,,1
174,GUM,ساجق,,,1
175,BODY SPRAY,سپری بدن,,,1
176,SYRNGE NIDDLE,سرنگ سرسوزن آنژیوکت,,,1
177,BABY SHAMPOO,شامپو بچه,,,1
178,BODY WASH,شامپو بدن,,,1
179,DANDRUF SHAMPOO,شامپو ضد شوره,,,1
180,HERBAL SHAMPOO,شامپو گياهي,,,1
181,SOFTENER SHAMPOO,شامپو نرم كننده,,,1
182,VITAMIN SHAMPOO,شامپو ويتامينه,,,1
183,SHOWER GEL,شاور ژل,,,1
184,CHOCOLATE,شكلات,,,1
185,ABDOMIN BELT,شكم بند,,,1
186,TIE PANTY,شورت گره اي,,,1
187,CLEANSING MILK,شير پاك كن,,,1
188,POWEDER MILK,شير خشك,,,1
189,SUGER,شکر,,,1
190,BREAST PUMP,شیر کش,,,1
191,SWEET,شیرینی,,,1
192,FEEDING BOTTLE,شیشه شیرخوری,,,1
193,SOAP,صابون,,,1
194,BABY SOAP,صابون بچه,,,1
195,LIQUID SOAP,صابون مايع,,,1
196,ANTI PRESPIRENT,ضد عرق,,,1
197,PERFUM,عطر,,,1
198,GLASSES,عينك,,,1
199,BABY FOOD,غذای بچه,,,1
200,FOAM,فوم,,,1
201,FACE WASH,فيس واش,,,1
202,SWEETENER TABLET,قرص شيرين كننده,,,1
203,SUNSCREEN CREAM,كرم ضد آفتاب,,,1
204,STREACH,كشي,,,1
205,ROLE,گره اي,,,1
206,EAR STICK,گوش پاكن,,,1
207,NAIL PAINT,لاک,,,1
208,LIP BALM,لب چرب,,,1
209,MAKEUP TOOL,لوازم آرايشي,,,1
210,HYGENIC EQUIPMENT,لوازم بهداشتي,,,1
211,panseman,لوازم پانسمان,,,1
212,draft,,,,1
213,BABY EQUIPMENT,لوازم كودك,,,1
214,MASK,ماسک,,,1
215,MAM,مام,,,1
216,HANDWASH LIQUID,مايع دستشويي,,,1
217,OTHER,متفرقه,,,1
218,DIAPER COVER,محافظ كهنه,,,1
219,MOUTH&THOOTH,محصولات دهان و دندان,,,1
220,JAM,مربا,,,1
221,Moisturizing,مرطوب كننده,,,1
222,THOOTH BRUSH & FLOSS,مسواك و نخ دندان,,,1
223,NORMAL,معمولی,,,1
224,FOOD,مواد خوراكه,,,1
225,FLOSS,نخ دندان,,,1
226,CONDITIONER,نرم کننده,,,1
227,SALT,نمك,,,1
228,COTEX,نوار بهداشتی,,,1
229,DRINK,نوشيدني,,,1
230,VASLINE,وازلین,,,1
231,HAIR WAX,واکس مو,,,1
232,EYE COUNTER CREAM,کرم  دور چشم,,,1
233,HAIR REMOVER CREAM,کرم موبر,,,1
234,CAKE,کیک,,,1
235,BODY SHAMPOO,,,,1
